Page Name,Page Name,Page Views,Onload (s),TCP (s),First Byte (s),DNS (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),Time To DOM Interactive (s),Time To DOM Content Loaded (s),JS Errors (Sampled),Time To Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Total Blocking Time (s),First Input Delay Duration (s),Cumulative Layout Shift
"product-list,,""366,282"",5.14,0.01,0.69,0.01,4.25,0.01,0.01,0.19,1.79,1.98,580,6.21,1.37,1.71,0.56,0.02,0.066"
"product-detail,,""263,822"",5.86,0.01,0.67,0.01,5.00,0.01,0.00,0.04,1.35,1.75,""1,280"",4.79,1.54,2.17,0.36,0.02,0.024"
"homepage,,""83,430"",4.24,0.05,0.14,0.04,3.54,0.03,0.07,0.03,1.49,1.77,147,4.85,1.44,1.95,0.29,0.01,0.049"
"Discovery,,""40,739"",2.93,0.01,0.30,0.01,2.47,0.01,0.00,0.04,0.97,1.10,53,3.17,0.92,1.46,0.27,0.02,0.035"
"Inspiration,,""14,879"",4.70,0.02,0.44,0.02,3.87,0.02,0.01,0.04,1.44,1.67,24,4.61,1.49,1.90,0.31,0.02,0.071"
"Add to Cart,,""10,553"",0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.64,0.00,0.00,0.00,0.00,N/A"
"account,,""5,698"",4.54,0.01,1.50,0.01,2.78,0.01,0.12,0.04,2.41,2.63,98,4.52,2.29,2.53,0.23,0.02,0.062"
"boutique-locator,,""4,835"",4.73,0.04,0.47,0.03,4.03,0.03,0.03,0.04,1.43,1.75,5,4.03,1.48,2.84,0.20,0.01,0.038"
"cart,,""4,174"",4.63,0.02,1.03,0.02,3.45,0.01,0.01,0.16,2.11,2.18,19,2.83,2.07,2.45,0.12,0.01,0.052"
"service,,""2,777"",3.88,0.03,0.52,0.02,3.16,0.02,0.01,0.05,1.40,1.58,7,4.15,1.44,1.86,0.36,0.02,0.060"
"Inspiration - Stories,,""2,748"",6.16,0.01,0.42,0.01,5.48,0.01,0.03,0.03,1.35,1.58,4,7.55,1.07,1.92,0.91,0.07,0.052"
"shipping,,""1,917"",4.42,0.00,0.71,0.00,3.59,0.00,0.04,0.07,1.91,2.07,4,5.44,1.30,1.71,1.00,0.10,0.073"
"wishlist,,""1,789"",4.45,0.02,1.92,0.01,2.34,0.01,0.00,0.03,2.77,2.86,362,4.58,2.73,3.03,0.09,0.02,0.040"
"contactus,,""1,616"",5.09,0.03,0.62,0.02,4.25,0.02,0.00,0.05,1.78,1.93,2,4.02,1.60,1.90,0.34,0.01,0.083"
"login,,""1,509"",1.79,0.00,0.40,0.00,1.29,0.00,0.00,0.05,0.88,1.03,15,1.96,0.97,0.96,0.27,0.01,0.006"
