Sorgente/Mezzo,Sessioni,% uscita,Frequenza di rimbalzo
"google / cpc,291.336,""29,10%"",""37,00%"""
"(direct) / (none),153.514,""28,70%"",""47,11%"""
"google / organic,123.119,""23,51%"",""26,12%"""
"instagram / soc_p,54.641,""73,81%"",""47,56%"""
"Fb-Ig / soc_p,45.203,""90,54%"",""92,69%"""
"Elle / rt,44.686,""82,77%"",""88,94%"""
"HB / rt,30.147,""90,33%"",""94,05%"""
"marketing_cloud / email,26.394,""24,31%"",""28,60%"""
"youtube / display,17.191,""89,80%"",""83,57%"""
"yandex.ru / referral,9.451,""19,56%"",""25,29%"""
",866.469,""32,84%"",""46,58%"""
