Sorgente/Mezzo,Sessioni,% uscita,Frequenza di rimbalzo
"google / cpc,311.344,""30,44%"",""40,38%"""
"(direct) / (none),144.210,""25,77%"",""38,91%"""
"google / organic,135.310,""22,70%"",""24,13%"""
"instagram / soc_p,61.044,""77,53%"",""52,19%"""
"Fb-Ig / soc_p,43.702,""67,47%"",""65,92%"""
"marketing_cloud / email,25.540,""23,99%"",""31,68%"""
"TikTok / soc_p,21.651,""86,90%"",""68,42%"""
"yandex.ru / referral,9.310,""18,97%"",""25,51%"""
"bing / cpc,9.049,""57,28%"",""49,22%"""
"(not set) / (not set),6.857,""20,76%"",""24,34%"""
",818.059,""30,37%"",""40,01%"""
